epoch,train_loss,train_acc,val_loss,val_acc
1,5.151972436904908,0.0125,6.222927570343018,0.009375
2,4.9168940782547,0.0265625,5.222002983093262,0.003125
3,4.820446586608886,0.015625,5.0086517333984375,0.040625
4,4.782019639015198,0.025,5.10013632774353,0.0125
5,4.724089002609253,0.0296875,4.76810998916626,0.0125
6,4.608315801620483,0.0375,4.7456268787384035,0.0375
7,4.655168509483337,0.0265625,4.842816305160523,0.01875
8,4.5869595289230345,0.0375,4.737901926040649,0.015625
9,4.559244894981385,0.03125,4.798818445205688,0.0125
10,4.551730942726135,0.0375,4.525495481491089,0.0375
11,4.539143633842468,0.05625,4.727274990081787,0.021875
12,4.477064442634583,0.0421875,4.817761850357056,0.028125
13,4.516597247123718,0.0296875,4.75200834274292,0.0375
14,4.4741651058197025,0.0484375,4.499276781082154,0.046875
15,4.403419303894043,0.05625,4.604310464859009,0.046875
16,4.411693525314331,0.0484375,4.6691751956939695,0.028125
17,4.356120324134826,0.0578125,4.526558113098145,0.03125
18,4.376240205764771,0.059375,4.569084548950196,0.059375
19,4.419967913627625,0.04375,4.519577550888061,0.05
20,4.33550271987915,0.05625,4.377867889404297,0.01875
21,4.345901024341583,0.0578125,4.4129791259765625,0.046875
22,4.283738780021667,0.0578125,4.596052885055542,0.053125
23,4.337914395332336,0.05625,4.425911998748779,0.05
24,4.298761415481567,0.0703125,4.39867844581604,0.05
25,4.253751134872436,0.071875,4.372745513916016,0.053125
26,4.2776384353637695,0.0859375,4.4004199504852295,0.034375
27,4.212498509883881,0.078125,4.356256818771362,0.053125
28,4.169058632850647,0.075,4.433639144897461,0.05
29,4.177810335159302,0.0921875,4.552738857269287,0.0625
30,4.205386090278625,0.084375,4.300926256179809,0.065625
31,4.163764524459839,0.071875,4.333619737625122,0.05625
32,4.16275030374527,0.0953125,4.214635300636291,0.059375
33,4.0671927571296695,0.1125,4.489994764328003,0.053125
34,4.161381697654724,0.09375,4.443394660949707,0.034375
35,4.165174555778504,0.0859375,4.335085439682007,0.05
36,4.071606361865998,0.1078125,4.403152370452881,0.05625
37,4.112944030761719,0.0984375,4.414536190032959,0.021875
38,4.027491855621338,0.125,4.804845094680786,0.0375
39,4.067257189750672,0.1125,4.302503705024719,0.05
40,4.063025665283203,0.109375,4.356261277198792,0.05
41,4.036768984794617,0.1140625,4.319089365005493,0.0625
42,4.010973119735718,0.1125,4.311996698379517,0.059375
43,3.9182348251342773,0.115625,4.56214394569397,0.034375
44,3.9710333347320557,0.1359375,4.191064977645874,0.0625
45,3.970216703414917,0.1421875,4.1823467254638675,0.053125
46,3.9437655210494995,0.1328125,4.15877377986908,0.059375
47,3.872537612915039,0.14375,4.516910171508789,0.065625
48,3.926078224182129,0.1234375,4.195018529891968,0.1
49,3.810928559303284,0.1515625,4.284392833709717,0.065625
50,3.870348644256592,0.1359375,4.216337490081787,0.0625
