epoch,train_loss,train_acc,val_loss,val_acc
1,4.495764541625976,0.0359375,4.6677131175994875,0.03125
2,4.4702723026275635,0.05,4.432549619674683,0.05
3,4.469506692886353,0.040625,4.528031921386718,0.0375
4,4.480109190940857,0.0546875,4.4506507396698,0.034375
5,4.389464354515075,0.053125,4.723941040039063,0.04375
6,4.416281890869141,0.04375,4.87176513671875,0.025
7,4.440662479400634,0.0375,4.559727001190185,0.025
8,4.422350764274597,0.053125,4.542842435836792,0.034375
9,4.369175696372986,0.059375,4.433678722381591,0.025
10,4.302601218223572,0.0671875,4.775900268554688,0.025
11,4.396233773231506,0.05,4.475960063934326,0.034375
12,4.295022773742676,0.06875,4.382448005676269,0.059375
13,4.359217166900635,0.0578125,4.404105281829834,0.05
14,4.264290904998779,0.06875,4.486841773986816,0.040625
15,4.301314640045166,0.0734375,4.422060537338257,0.03125
16,4.267813742160797,0.084375,4.308681631088257,0.0625
17,4.241025495529175,0.065625,4.3836733341217045,0.046875
18,4.246844482421875,0.0625,4.292795610427857,0.04375
19,4.220528519153595,0.0796875,4.2650902509689335,0.075
20,4.238833630084992,0.0625,4.306165599822998,0.040625
21,4.217674386501312,0.0953125,4.2532073020935055,0.040625
22,4.225355339050293,0.0828125,4.309814023971557,0.0375
23,4.163333487510681,0.0828125,4.264129877090454,0.05
24,4.122828769683838,0.08125,4.326837015151978,0.034375
25,4.1897385835647585,0.0640625,4.292153406143188,0.053125
26,4.120237958431244,0.1,4.278185224533081,0.0875
27,4.139689469337464,0.084375,4.211155652999878,0.078125
28,4.064366281032562,0.1125,4.334791374206543,0.040625
29,4.067187964916229,0.096875,4.275310754776001,0.05625
30,4.143728876113892,0.0921875,4.300160598754883,0.059375
31,4.0084730863571165,0.11875,4.2747660160064695,0.075
32,4.046251058578491,0.1203125,4.3151901960372925,0.078125
33,4.056593668460846,0.096875,4.237966632843017,0.05625
34,3.986720252037048,0.1125,4.345917558670044,0.053125
35,3.9641448974609377,0.13125,4.196351528167725,0.053125
36,3.9991111755371094,0.1125,4.220096826553345,0.06875
37,3.9602505564689636,0.1328125,4.236881256103516,0.059375
38,3.972331440448761,0.1296875,4.3907613277435305,0.065625
39,3.994507873058319,0.109375,4.17835943698883,0.05625
40,3.9827627658843996,0.1234375,4.286120986938476,0.078125
41,3.8936684250831606,0.128125,4.147294282913208,0.04375
42,3.876721751689911,0.15625,4.161210918426514,0.06875
43,3.9375995993614197,0.1546875,4.20062255859375,0.040625
44,3.878019332885742,0.1359375,4.127183556556702,0.071875
45,3.7944878458976747,0.1703125,4.44303457736969,0.0625
46,3.7835281610488893,0.1609375,4.109315872192383,0.06875
47,3.7211023807525634,0.1890625,4.10005133152008,0.071875
48,3.8001057863235475,0.165625,4.176054668426514,0.04375
49,3.7357883930206297,0.1453125,4.161674666404724,0.071875
50,3.7230775952339172,0.1765625,4.105907583236695,0.065625
