epoch,train_loss,train_acc,val_loss,val_acc
1,4.857230830192566,0.084375,3.542245292663574,0.2625
2,3.43792245388031,0.3046875,2.2253133773803713,0.4875
3,2.5614622116088865,0.4796875,1.6257057309150695,0.5875
4,2.2993250250816346,0.5296875,1.6358171939849853,0.546875
5,2.11729553937912,0.584375,1.4670889973640442,0.58125
6,2.083484870195389,0.6125,1.42941415309906,0.603125
7,1.8750340640544891,0.6640625,1.1810835540294646,0.659375
8,1.8499735713005065,0.665625,1.1452848792076111,0.68125
9,1.816275417804718,0.7,1.199598455429077,0.653125
10,1.8384870171546936,0.6796875,1.1123781502246857,0.665625
11,1.8851629316806793,0.6453125,1.1199055433273315,0.66875
12,1.6989827275276184,0.7375,1.1121826887130737,0.68125
13,1.675181770324707,0.728125,1.15673970580101,0.64375
14,1.7510643482208252,0.709375,1.0593710482120513,0.6875
15,1.7566719353199005,0.709375,1.1091622173786164,0.68125
16,1.7374826312065124,0.7359375,1.1648629009723663,0.65
17,1.6879972875118257,0.7265625,1.026855570077896,0.7
18,1.6695242404937745,0.725,0.9869508922100068,0.6875
19,1.6514088451862334,0.7359375,1.0100139856338501,0.7
20,1.6547634243965148,0.75,1.139332377910614,0.684375
21,1.5831583261489868,0.76875,1.0585731089115142,0.7125
22,1.5824319124221802,0.7640625,1.1443525791168212,0.65625
23,1.540630614757538,0.8109375,0.88647181391716,0.7375
24,1.4515009880065919,0.8140625,0.8236123442649841,0.7625
25,1.3902756452560425,0.8609375,0.8196277141571044,0.7625
26,1.395644587278366,0.84375,0.8045193254947662,0.765625
27,1.4134497463703155,0.825,0.8434306770563126,0.778125
28,1.379821962118149,0.853125,0.8602963209152221,0.75
29,1.3245384037494659,0.865625,0.8149244725704193,0.7375
30,1.3501965939998626,0.859375,0.7975131869316101,0.759375
31,1.3032744765281676,0.86875,0.8051795601844788,0.759375
32,1.2692709147930146,0.8734375,0.7886931359767914,0.778125
33,1.2786302804946899,0.871875,0.8544544696807861,0.7625
34,1.2965927958488463,0.865625,0.8688426077365875,0.73125
