epoch,train_loss,train_acc,val_loss,val_acc
1,5.134518265724182,0.0109375,6.163925504684448,0.00625
2,4.929202699661255,0.021875,4.91898546218872,0.0125
3,4.797144412994385,0.03125,4.790159034729004,0.021875
4,4.699948787689209,0.040625,5.087500190734863,0.01875
5,4.69738998413086,0.021875,4.802255344390869,0.034375
6,4.66331832408905,0.0234375,4.710507583618164,0.03125
7,4.604644298553467,0.0328125,4.90287504196167,0.01875
8,4.548280501365662,0.0453125,4.769548511505127,0.028125
9,4.529775261878967,0.0421875,4.6858100414276125,0.0125
10,4.522144198417664,0.046875,4.659069395065307,0.01875
11,4.56859929561615,0.0375,4.525979089736938,0.0375
12,4.4170351266860965,0.0484375,4.427372598648072,0.05
13,4.424720501899719,0.04375,4.471640872955322,0.059375
14,4.429389643669128,0.0484375,4.59081711769104,0.021875
15,4.394405007362366,0.0453125,4.332462120056152,0.0625
16,4.394909024238586,0.0609375,4.466113948822022,0.05625
17,4.368665766716004,0.06875,4.723580408096313,0.028125
18,4.362873816490174,0.053125,4.577668237686157,0.028125
19,4.335762977600098,0.0703125,4.9182697296142575,0.034375
20,4.341697788238525,0.05625,4.465590858459473,0.034375
21,4.297017884254456,0.05625,4.45525016784668,0.028125
22,4.369445848464966,0.059375,4.350471496582031,0.04375
23,4.28464252948761,0.075,4.280886697769165,0.075
24,4.212136125564575,0.0796875,4.449480438232422,0.03125
25,4.267034959793091,0.078125,4.372358274459839,0.05
26,4.244592714309692,0.06875,4.275809240341187,0.053125
27,4.217184484004974,0.0734375,4.3986491680145265,0.034375
28,4.187701380252838,0.084375,4.367775821685791,0.075
29,4.246005928516388,0.0875,4.291664671897888,0.078125
30,4.191735684871674,0.08125,4.465271282196045,0.05
31,4.238094353675843,0.0796875,4.402554750442505,0.046875
32,4.105268371105194,0.1,4.272576141357422,0.0625
33,4.148972809314728,0.0796875,4.322432661056519,0.034375
34,4.129402470588684,0.1015625,4.172681546211242,0.078125
35,4.142203199863434,0.0875,4.700025844573974,0.03125
36,4.096037328243256,0.109375,4.191322183609008,0.071875
37,4.084978723526001,0.1078125,4.241693902015686,0.053125
38,4.067351353168488,0.090625,4.1633094310760494,0.06875
39,3.9634676814079284,0.146875,4.531598281860352,0.01875
40,4.086037766933441,0.090625,4.601007127761841,0.053125
41,4.023496341705322,0.103125,4.281060409545899,0.059375
42,4.021276593208313,0.1078125,4.166380524635315,0.071875
43,3.9844913482666016,0.11875,4.280416488647461,0.04375
44,3.9875019788742065,0.1171875,4.279494500160217,0.053125
45,3.9357409715652465,0.1328125,4.3331702709197994,0.046875
46,3.9423227071762086,0.1390625,4.365977239608765,0.0875
47,3.959194707870483,0.128125,4.473214101791382,0.040625
48,3.9358188986778258,0.1390625,4.2431763172149655,0.09375
49,3.8295786142349244,0.1609375,4.253933715820312,0.065625
50,3.881030094623566,0.14375,4.420266151428223,0.059375
